"precision";"recall";"f1";"accuracy";"total";"type";"threshold"
"1,8710513984283959";"8,651455486062854";"2,746402089532588";"15,77484364141765";"1439";"ALL";"0"
"0";"0";"0";"0";"301";"BeginsAt";"0"
"3,398210425258954";"17,87084038353074";"5,191373042246409";"24,365482233502537";"197";"tookPlaceAt";"0"
"2,8609042506662625";"9,518659881255301";"3,727875643894361";"14,50381679389313";"131";"carriedOutBy";"0"
"0,1052048726467331";"1,107419712070875";"0,19013102069580476";"1,3289036544850499";"301";"showsFeatures";"0"
"6,1261975165055205";"23,773554256010396";"8,74879661845066";"59,64912280701754";"171";"fallsWithin";"0"
"0,771679131054131";"5,3819444444444455";"1,001100842383737";"6,25";"96";"hadParticipant";"0"
"1,1327838827838828";"2,9166666666666665";"1,5964912280701753";"10";"40";"hadParticipantBegins";"0"
"4,587531202484736";"27,040816326530614";"7,426341012127958";"44,89795918367347";"98";"falltookPlace";"0"
"0";"0";"0";"0";"104";"fallhasTimeSpan";"0"
"2,8317400165393543";"11,953710219720076";"4,017637902858408";"22,06896551724138";"1015";"ALL";"0,1"
"0";"0";"0";"0";"101";"BeginsAt";"0,1"
"3,702649844942833";"19,174340085942298";"5,6422231594720715";"25,96685082872928";"181";"tookPlaceAt";"0,1"
"2,905259355327755";"9,666236003445306";"3,7856721655051264";"14,728682170542635";"129";"carriedOutBy";"0,1"
"0,16723356009070295";"1,7006802721088436";"0,3000854021262184";"2,0408163265306123";"196";"showsFeatures";"0,1"
"7,435924053232738";"23,305823351835617";"9,81685774596737";"61,34969325153374";"163";"fallsWithin";"0,1"
"3,228798087021149";"22,46376811594203";"4,193000617485744";"26,08695652173913";"23";"hadParticipant";"0,1"
"1,2586487586487587";"3,2407407407407405";"1,7738791423001947";"11,11111111111111";"36";"hadParticipantBegins";"0,1"
"5,165010313866149";"29,444444444444443";"8,322723949469735";"48,888888888888886";"90";"falltookPlace";"0,1"
"0";"0";"0";"0";"96";"fallhasTimeSpan";"0,1"
"2,7634370152095458";"10,154385355115283";"3,809210050692052";"20,125130344108445";"959";"ALL";"0,2"
"0";"0";"0";"0";"91";"BeginsAt";"0,2"
"3,190043881049811";"14,240426867545512";"4,759013259131185";"21,468926553672315";"177";"tookPlaceAt";"0,2"
"2,8447702471139977";"9,168836805555554";"3,723108488733488";"13,28125";"128";"carriedOutBy";"0,2"
"0,06105006105006105";"0,5494505494505495";"0,10989010989010989";"0,5494505494505495";"182";"showsFeatures";"0,2"
"6,968288939391149";"18,220099079971682";"8,73323643393251";"55,4140127388535";"157";"fallsWithin";"0,2"
"3,962526159322497";"27,192982456140356";"5,16972255199402";"31,57894736842105";"19";"hadParticipant";"0,2"
"0,6666666666666666";"1,9047619047619044";"0,9523809523809522";"5,714285714285714";"35";"hadParticipantBegins";"0,2"
"6,236312458476656";"30,120481927710845";"9,77654244868613";"50,602409638554214";"83";"falltookPlace";"0,2"
"0";"0";"0";"0";"87";"fallhasTimeSpan";"0,2"
"2,87931862400282";"9,261843102020688";"3,809990392614845";"18,64594894561598";"901";"ALL";"0,3"
"0";"0";"0";"0";"76";"BeginsAt";"0,3"
"3,4809843482262144";"11,166020671834627";"4,451820176744055";"18,023255813953487";"172";"tookPlaceAt";"0,3"
"2,9163803568565476";"9,226190476190474";"3,8561592728259404";"12,698412698412698";"126";"carriedOutBy";"0,3"
"0,06944444444444445";"0,625";"0,125";"0,625";"160";"showsFeatures";"0,3"
"6,745152426379744";"15,199989488068951";"8,166681000497785";"50,33112582781457";"151";"fallsWithin";"0,3"
"2,3308146496552293";"27,77777777777778";"4,222361459203565";"27,77777777777778";"18";"hadParticipant";"0,3"
"0";"0";"0";"0";"34";"hadParticipantBegins";"0,3"
"6,786451904627545";"28,861788617886177";"10,39074228815979";"47,5609756097561";"82";"falltookPlace";"0,3"
"0";"0";"0";"0";"82";"fallhasTimeSpan";"0,3"
"3,4342722558983554";"8,967137579669552";"4,17744198050839";"17,774936061381073";"782";"ALL";"0,4"
"0";"0";"0";"0";"66";"BeginsAt";"0,4"
"3,831761726923017";"9,971326164874553";"4,496862145696079";"16,129032258064516";"155";"tookPlaceAt";"0,4"
"4,008002098911191";"10,454545454545453";"4,997002997002997";"13,636363636363637";"110";"carriedOutBy";"0,4"
"0,08481764206955046";"0,7633587786259542";"0,15267175572519084";"0,7633587786259542";"131";"showsFeatures";"0,4"
"8,175815563005964";"13,844726062467995";"8,459420010315398";"47,58064516129032";"124";"fallsWithin";"0,4"
"2,5471342383107083";"29,41176470588235";"4,61361014994233";"29,41176470588235";"17";"hadParticipant";"0,4"
"0";"0";"0";"0";"34";"hadParticipantBegins";"0,4"
"7,469026699795931";"25,641025641025642";"11,188156572771955";"43,58974358974359";"78";"falltookPlace";"0,4"
"0";"0";"0";"0";"67";"fallhasTimeSpan";"0,4"
"2,894323289109385";"7,615800865800866";"3,5772306844853388";"13,333333333333334";"660";"ALL";"0,5"
"0";"0";"0";"0";"56";"BeginsAt";"0,5"
"4,104535431193754";"8,006304176516943";"4,381413803245441";"13,47517730496454";"141";"tookPlaceAt";"0,5"
"3,720238095238095";"10,096153846153847";"4,875493096646943";"13,461538461538462";"104";"carriedOutBy";"0,5"
"0,10482180293501048";"0,9433962264150944";"0,18867924528301888";"0,9433962264150944";"106";"showsFeatures";"0,5"
"6,227284223712796";"11,39342403628118";"6,611216799676305";"34,285714285714285";"70";"fallsWithin";"0,5"
"1,4423076923076925";"20";"2,6890756302521006";"20";"15";"hadParticipant";"0,5"
"0";"0";"0";"0";"34";"hadParticipantBegins";"0,5"
"6,346046546046546";"22";"9,506937506937508";"36";"75";"falltookPlace";"0,5"
"0";"0";"0";"0";"59";"fallhasTimeSpan";"0,5"
"2,7845169270030956";"6,330926484477347";"3,38879195524536";"9,980806142034549";"521";"ALL";"0,6"
"0";"0";"0";"0";"54";"BeginsAt";"0,6"
"3,977719528178244";"5,861365953109072";"4,029099473854161";"11,009174311926605";"109";"tookPlaceAt";"0,6"
"3,225806451612903";"8,602150537634408";"4,324970131421745";"10,75268817204301";"93";"carriedOutBy";"0,6"
"0";"0";"0";"0";"61";"showsFeatures";"0,6"
"4,924002746814798";"12,427409988385598";"6,2098305304149894";"21,951219512195124";"41";"fallsWithin";"0,6"
"0,5128205128205129";"7,6923076923076925";"0,9615384615384616";"7,6923076923076925";"13";"hadParticipant";"0,6"
"0";"0";"0";"0";"32";"hadParticipantBegins";"0,6"
"7,064043209876544";"17,36111111111111";"9,12588183421517";"27,77777777777778";"72";"falltookPlace";"0,6"
"0";"0";"0";"0";"46";"fallhasTimeSpan";"0,6"
"3,702760452760452";"5,820463320463319";"3,9187316161000383";"9,18918918918919";"370";"ALL";"0,7"
"0";"0";"0";"0";"51";"BeginsAt";"0,7"
"4,63768115942029";"5,434782608695652";"4,202898550724638";"8,695652173913043";"69";"tookPlaceAt";"0,7"
"6,104166666666666";"8,75";"6,4375";"11,25";"80";"carriedOutBy";"0,7"
"0";"0";"0";"0";"23";"showsFeatures";"0,7"
"10,452279202279202";"18,5515873015873";"12,414440457203616";"29,166666666666668";"24";"fallsWithin";"0,7"
"0";"0";"0";"0";"12";"hadParticipant";"0,7"
"0";"0";"0";"0";"31";"hadParticipantBegins";"0,7"
"5,756172839506172";"11,728395061728396";"6,425631981187537";"22,22222222222222";"54";"falltookPlace";"0,7"
"0";"0";"0";"0";"26";"fallhasTimeSpan";"0,7"
"4,946808510638298";"5,99290780141844";"4,896196002578982";"8,51063829787234";"235";"ALL";"0,8"
"0";"0";"0";"0";"48";"BeginsAt";"0,8"
