precision;recall;f1;accuracy;total;type;threshold
9,47243194;69,63736943;15,641922;74,4266852;1439;ALL;0
3,454093444;43,18936877;6,312334393;43,18936877;301;BeginsAt;0
10,31594726;78,8606881;16,85263278;83,24873096;197;tookPlaceAt;0
13,28777844;91,63486005;20,92893738;93,12977099;131;carriedOutBy;0
14,54690215;99,66777409;23,95773455;99,66777409;301;showsFeatures;0
13,08138951;87,50974659;22,16534049;98,24561404;171;fallsWithin;0
11,85571851;77,51736111;19,66551159;89,58333333;96;hadParticipant;0
4,010333041;23,64880952;6,090103387;52,5;40;hadParticipantBegins;0
8,400878341;51,19047619;12,88273865;67,34693878;98;falltookPlace;0
0,777147292;12,5;1,456737387;13,46153846;104;fallhasTimeSpan;0
12,7819287;67,08349891;19,41332062;72,32267038;1438;ALL;0,1
3,973066357;41,86046512;7,141110311;41,86046512;301;BeginsAt;0,1
10,74086468;75,98420756;17,41186185;80,7106599;197;tookPlaceAt;0,1
16,15428092;91,5394402;24,7198222;93,12977099;131;carriedOutBy;0,1
25,50394034;99,66666667;35,82345988;99,66666667;300;showsFeatures;0,1
15,94571296;84,11607723;26,03809763;96,49122807;171;fallsWithin;0,1
12,88327816;65,34722222;20,30688344;79,16666667;96;hadParticipant;0,1
6,390441684;21,625;8,631125446;50;40;hadParticipantBegins;0,1
9,974154436;46,76870748;14,47396619;64,28571429;98;falltookPlace;0,1
1,00558496;8,653846154;1,78596322;9,615384615;104;fallhasTimeSpan;0,1
15,55044381;63,71316774;22,31574988;69,31659693;1434;ALL;0,2
4,709574408;35,78595318;7,890783902;35,78595318;299;BeginsAt;0,2
13,10821538;75,18048505;20,55676782;79,69543147;197;tookPlaceAt;0,2
18,76325716;90,77608142;28,11440321;92,36641221;131;carriedOutBy;0,2
29,32286434;99,66666667;40,46694092;99,66666667;300;showsFeatures;0,2
23,01225775;77,6643324;32,88858298;93,52941176;170;fallsWithin;0,2
14,82090877;62,43055556;22,25602231;78,125;96;hadParticipant;0,2
9,857142857;16,0297619;9,608076564;37,5;40;hadParticipantBegins;0,2
12,49784896;36,98979592;15,20139721;56,12244898;98;falltookPlace;0,2
0,971294078;5,825242718;1,621275165;5,825242718;103;fallhasTimeSpan;0,2
18,98574445;61,44326971;25,80851632;66,4305949;1412;ALL;0,3
4,99396795;33,67346939;8,253018364;33,67346939;294;BeginsAt;0,3
15,59089311;70,10434292;23,5197759;75,12690355;197;tookPlaceAt;0,3
28,45426459;88,74045802;38,89265506;90,07633588;131;carriedOutBy;0,3
32,54557266;99,33333333;44,11117428;99,33333333;300;showsFeatures;0,3
32,07487551;73,58972531;41,07477319;87,4251497;167;fallsWithin;0,3
17,35566412;60,24305556;24,37295735;76,04166667;96;hadParticipant;0,3
11,61111111;12,76190476;8,601073763;30;30;hadParticipantBegins;0,3
14,05827462;30,58419244;15,76867826;46,39175258;97;falltookPlace;0,3
0,424242424;2;0,666666667;2;100;fallhasTimeSpan;0,3
22,37512835;59,62207941;28,82077975;64,67551622;1356;ALL;0,4
5,208374316;31,91489362;8,506915588;31,91489362;282;BeginsAt;0,4
20,09170603;61,30497685;27,10288649;66,66666667;192;tookPlaceAt;0,4
35,87812937;90,50925926;46,38381339;92,06349206;126;carriedOutBy;0,4
35,19030534;99,33333333;47,12275687;99,33333333;300;showsFeatures;0,4
39,37202666;66,72261658;45,85043723;83,22981366;161;fallsWithin;0,4
17,58894697;56,57986111;24,21969408;71,875;96;hadParticipant;0,4
12,5;6,696428571;7,083333333;12,5;16;hadParticipantBegins;0,4
18,49579108;28,63984674;18,12346019;44,82758621;87;falltookPlace;0,4
1,041666667;1,041666667;1,041666667;1,041666667;96;fallhasTimeSpan;0,4
25,27875234;57,522063;31,2404941;62,44167963;1286;ALL;0,5
6,217307775;32,8358209;9,908506327;32,8358209;268;BeginsAt;0,5
19,77930905;48,34515366;24,95296114;52,65957447;188;tookPlaceAt;0,5
39,96331351;91,07638889;50,99000716;91,66666667;120;carriedOutBy;0,5
40,52393354;96,56357388;51,92509285;96,56357388;291;showsFeatures;0,5
46,47188882;64,92009867;50,73832345;82,43243243;148;fallsWithin;0,5
17,98129918;52,37588652;24,26853494;68,08510638;94;hadParticipant;0,5
16,66666667;8,928571429;9,444444444;16,66666667;12;hadParticipantBegins;0,5
21,10864522;29,32489451;20,1998564;45,56962025;79;falltookPlace;0,5
1,162790698;1,162790698;1,162790698;1,162790698;86;fallhasTimeSpan;0,5
27,99091034;53,70862265;33,10124695;58,4124245;1159;ALL;0,6
7,835492195;34,14634146;11,84620709;34,14634146;246;BeginsAt;0,6
21,61057905;40,58038485;25,44192503;43,57541899;179;tookPlaceAt;0,6
45,55479574;90,31339031;55,97009322;90,5982906;117;carriedOutBy;0,6
44,81265415;86,45418327;54,34297442;86,45418327;251;showsFeatures;0,6
48,75605271;59,52106227;50,93450548;77,69230769;130;fallsWithin;0,6
22,86428077;50,6884058;28,16477421;67,39130435;92;hadParticipant;0,6
12,5;12,5;12,5;12,5;8;hadParticipantBegins;0,6
